timestamp,username,src_ip,auth_method,outcome
2025-10-03T20:08:39.606025,bob,192.168.51.19,Kerberos,SUCCESS
2025-10-11T02:15:07.606025,jon.admin,10.158.107.133,Kerberos,SUCCESS
2025-10-13T02:10:20.606025,alice,10.243.216.106,Interactive,SUCCESS
2025-10-19T23:08:24.606025,bob-user,172.31.253.51,Interactive,SUCCESS
2025-10-25T07:36:28.606025,ida,172.17.107.55,NTLM,SUCCESS
2025-10-04T10:13:45.606025,bob,192.168.153.213,Interactive,SUCCESS
2025-10-09T22:57:52.606025,dave1,192.168.74.83,Interactive,SUCCESS
2025-10-08T03:26:56.606025,dave1,10.43.63.130,Kerberos,SUCCESS
2025-10-21T02:24:21.606025,dave1,10.71.55.103,Kerberos,SUCCESS
2025-10-05T19:12:26.606025,jon1,10.32.133.168,Kerberos,SUCCESS
2025-10-08T10:26:45.606025,jon01,172.16.255.234,NTLM,SUCCESS
2025-10-21T07:54:05.606025,eva-user,192.168.182.42,Kerberos,SUCCESS
2025-10-04T14:20:30.606025,bob-user,10.44.95.82,Kerberos,SUCCESS
2025-10-23T20:32:55.606025,gina,10.103.3.39,Interactive,SUCCESS
2025-10-18T20:57:47.606025,jon.admin,172.30.80.128,Kerberos,SUCCESS
2025-10-07T13:27:30.606025,jon1,10.245.99.208,Kerberos,SUCCESS
2025-10-21T01:54:45.606025,jon.admin,172.27.9.132,Network,SUCCESS
2025-10-08T13:32:03.606025,eva1,172.30.67.23,Kerberos,SUCCESS
2025-10-16T10:39:11.606025,frank.admin,192.168.143.118,NTLM,SUCCESS
2025-10-04T01:06:26.606025,gina.admin,10.159.75.153,RemoteInteractive,SUCCESS
2025-10-24T13:21:14.606025,dave.admin,192.168.172.66,Interactive,SUCCESS
2025-10-24T03:30:55.606025,alice1,172.27.199.179,Interactive,SUCCESS
2025-10-24T12:35:09.606025,dave.admin,192.168.252.61,NTLM,SUCCESS
2025-10-17T07:20:21.606025,jon.admin,192.168.8.254,Interactive,SUCCESS
2025-10-20T03:34:40.606025,bob01,192.168.111.169,RemoteInteractive,SUCCESS
2025-10-02T15:19:16.606025,jon.admin,172.19.188.112,RemoteInteractive,SUCCESS
2025-10-08T19:32:24.606025,jon1,10.221.100.11,Kerberos,SUCCESS
2025-10-15T21:18:28.606025,bob-user,172.21.107.224,Interactive,SUCCESS
2025-10-14T04:13:40.606025,dave01,192.168.152.201,Interactive,SUCCESS
2025-10-21T02:42:27.606025,gina.admin,10.250.100.102,RemoteInteractive,SUCCESS
2025-10-21T09:21:38.606025,jon.admin,192.168.29.207,NTLM,SUCCESS
2025-10-11T17:33:40.606025,bob,192.168.202.75,Interactive,SUCCESS
2025-10-22T22:50:37.606025,ida1,172.31.91.228,Kerberos,SUCCESS
2025-10-05T01:04:52.606025,ida1,192.168.51.129,RemoteInteractive,SUCCESS
2025-10-06T08:12:00.606025,bob01,192.168.60.47,RemoteInteractive,SUCCESS
2025-10-12T06:26:17.606025,gina,172.25.104.241,RemoteInteractive,SUCCESS
2025-10-25T03:25:39.606025,alice,10.2.212.254,Kerberos,SUCCESS
2025-10-01T00:15:01.606025,eva-user,10.224.207.27,Network,SUCCESS
2025-10-12T12:50:24.606025,jon,10.31.32.127,Kerberos,SUCCESS
2025-10-13T19:08:04.606025,bob,172.27.231.143,Interactive,SUCCESS
2025-10-12T22:15:28.606025,alice,172.22.163.237,Kerberos,SUCCESS
2025-10-14T02:31:31.606025,alice,192.168.138.14,Kerberos,SUCCESS
2025-10-09T14:48:33.606025,jon01,172.31.5.54,Interactive,SUCCESS
2025-10-12T09:27:30.606025,alice-user,10.194.240.246,NTLM,SUCCESS
2025-10-08T19:39:44.606025,jon.admin,192.168.221.118,Kerberos,SUCCESS
2025-10-24T07:56:19.606025,jon01,172.23.177.143,Kerberos,SUCCESS
2025-10-07T16:27:06.606025,bob,192.168.24.205,Kerberos,SUCCESS
2025-10-03T02:32:13.606025,gina.admin,192.168.88.189,Network,SUCCESS
2025-10-04T05:50:48.606025,harry_svc,192.168.185.59,Network,SUCCESS
2025-10-09T07:01:27.606025,bob_svc,192.168.74.72,NTLM,SUCCESS
2025-10-09T15:43:14.606025,alice-user,172.21.15.73,Kerberos,SUCCESS
2025-10-06T02:25:36.606025,dave01,172.30.235.10,NTLM,SUCCESS
2025-10-13T14:33:19.606025,gina,10.144.58.89,Interactive,SUCCESS
2025-10-24T00:51:17.606025,frank.admin,10.81.233.109,Kerberos,SUCCESS
2025-10-01T20:45:00.606025,jon.admin,172.26.64.12,Kerberos,SUCCESS
2025-10-01T11:14:08.606025,jon1,10.156.134.149,Interactive,SUCCESS
2025-10-20T21:25:32.606025,gina.admin,172.26.70.206,Network,SUCCESS
2025-10-11T00:11:50.606025,bob,192.168.30.59,NTLM,SUCCESS
2025-10-22T18:03:22.606025,bob,192.168.45.172,Interactive,SUCCESS
2025-10-09T21:12:56.606025,jon.admin,192.168.6.36,Kerberos,SUCCESS
2025-10-21T12:22:12.606025,jon.admin,172.17.124.183,Kerberos,SUCCESS
2025-10-18T12:56:13.606025,bob-user,192.168.115.42,Kerberos,SUCCESS
2025-10-24T20:53:33.606025,jon.admin,10.0.5.57,Interactive,SUCCESS
2025-10-15T08:32:14.606025,bob,192.168.239.212,NTLM,SUCCESS
2025-10-02T16:15:43.606025,dave1,10.67.253.209,NTLM,SUCCESS
2025-10-06T17:21:48.606025,jon1,10.133.116.124,Kerberos,SUCCESS
2025-10-06T15:41:10.606025,alice,192.168.200.83,Interactive,SUCCESS
2025-10-01T02:08:45.606025,jon01,172.16.124.148,Kerberos,SUCCESS
2025-10-12T16:09:14.606025,ida1,10.205.170.200,RemoteInteractive,SUCCESS
2025-10-06T06:25:16.606025,jon.admin,172.26.188.161,Network,SUCCESS
2025-10-12T21:37:33.606025,gina,192.168.173.25,NTLM,SUCCESS
2025-10-23T15:44:18.606025,ida01,172.27.229.201,NTLM,FAILURE
2025-10-20T15:35:52.606025,dave.admin,192.168.115.57,Kerberos,SUCCESS
2025-10-06T13:40:47.606025,bob_svc,192.168.43.137,Network,SUCCESS
2025-10-06T21:29:29.606025,ida01,172.27.214.163,Network,SUCCESS
2025-10-13T00:55:59.606025,bob-user,192.168.55.9,Interactive,SUCCESS
2025-10-23T13:46:25.606025,frank.admin,192.168.79.14,Network,SUCCESS
2025-10-22T05:06:43.606025,frank.admin,10.137.187.129,NTLM,SUCCESS
2025-10-24T23:42:14.606025,alice1,192.168.147.37,Kerberos,SUCCESS
2025-10-06T06:14:18.606025,dave.admin,10.74.45.110,RemoteInteractive,SUCCESS
2025-10-16T05:14:47.606025,jon.admin,10.216.110.65,Kerberos,SUCCESS
2025-10-15T09:31:48.606025,dave.admin,172.18.214.66,Network,SUCCESS
2025-10-02T00:49:31.606025,ida01,172.18.245.243,NTLM,FAILURE
2025-10-11T22:19:17.606025,eva-user,172.23.42.157,NTLM,SUCCESS
2025-10-07T13:28:31.606025,alice1,172.30.100.53,Interactive,SUCCESS
2025-10-18T14:32:27.606025,bob01,192.168.163.88,Kerberos,SUCCESS
2025-10-18T23:12:31.606025,jon.admin,192.168.199.230,NTLM,SUCCESS
2025-10-24T11:30:38.606025,eva1,172.24.25.16,NTLM,SUCCESS
2025-10-14T02:10:25.606025,alice,172.18.195.62,Kerberos,SUCCESS
2025-10-13T07:55:32.606025,alice-user,192.168.90.1,RemoteInteractive,SUCCESS
2025-10-15T18:40:25.606025,alice1,192.168.139.97,Network,FAILURE
2025-10-01T21:40:30.606025,ida01,172.17.155.19,NTLM,SUCCESS
2025-10-04T17:18:59.606025,dave1,10.60.141.234,Kerberos,SUCCESS
2025-10-08T15:12:14.606025,dave.admin,10.135.120.86,NTLM,SUCCESS
2025-10-08T01:55:59.606025,jon.admin,192.168.191.156,Interactive,SUCCESS
2025-10-14T08:55:41.606025,bob,172.31.237.203,Kerberos,SUCCESS
2025-10-20T22:26:02.606025,dave1,172.28.87.137,Network,SUCCESS
2025-10-17T13:29:02.606025,jon.admin,192.168.206.79,Network,SUCCESS
2025-10-15T15:12:35.606025,bob,172.31.173.181,NTLM,SUCCESS
2025-10-09T08:57:33.606025,bob,192.168.239.69,Network,SUCCESS
2025-10-02T16:36:44.606025,dave01,192.168.215.229,Kerberos,SUCCESS
2025-10-02T22:27:11.606025,dave01,10.45.62.39,Network,SUCCESS
2025-10-24T03:41:25.606025,bob,172.28.143.210,Interactive,SUCCESS
2025-09-30T07:41:05.606025,bob,10.233.78.140,Network,SUCCESS
2025-10-13T19:49:27.606025,bob-user,172.28.199.108,Kerberos,SUCCESS
2025-10-17T00:49:47.606025,bob01,192.168.70.219,RemoteInteractive,SUCCESS
2025-10-18T08:51:01.606025,eva-user,192.168.197.144,Interactive,SUCCESS
2025-10-21T00:04:20.606025,alice-user,10.190.110.9,Kerberos,SUCCESS
2025-10-24T07:04:08.606025,harry_svc,192.168.162.175,Kerberos,SUCCESS
2025-10-15T12:46:11.606025,alice,10.199.184.155,NTLM,SUCCESS
2025-10-03T01:54:52.606025,dave01,172.29.56.200,Interactive,SUCCESS
2025-10-11T18:59:38.606025,jon.admin,192.168.217.114,Kerberos,SUCCESS
2025-10-24T17:15:41.606025,frank.admin,10.218.133.83,Kerberos,SUCCESS
2025-10-13T17:16:47.606025,eva-user,172.25.13.158,NTLM,SUCCESS
2025-10-09T02:08:10.606025,jon01,172.28.219.112,RemoteInteractive,SUCCESS
2025-10-04T04:18:15.606025,dave_svc,192.168.160.245,NTLM,SUCCESS
2025-10-08T09:18:52.606025,ida1,172.17.244.189,NTLM,FAILURE
2025-10-09T17:14:55.606025,alice-user,172.28.33.208,Interactive,SUCCESS
2025-10-23T13:33:57.606025,bob1,192.168.6.120,Interactive,SUCCESS
2025-10-04T00:31:55.606025,bob_svc,10.43.44.251,NTLM,SUCCESS
2025-10-05T16:11:53.606025,dave1,10.138.0.173,NTLM,SUCCESS
2025-10-19T21:21:22.606025,jon.admin,192.168.31.17,NTLM,SUCCESS
2025-10-02T08:02:25.606025,jon01,172.27.235.31,Interactive,SUCCESS
2025-10-15T09:30:44.606025,ida1,192.168.42.25,Kerberos,SUCCESS
2025-10-22T22:37:08.606025,ida1,192.168.183.247,Interactive,SUCCESS
2025-10-14T01:23:27.606025,jon,10.201.49.34,Kerberos,SUCCESS
2025-10-10T01:42:34.606025,dave1,192.168.235.231,Kerberos,SUCCESS
2025-10-03T22:02:02.606025,alice1,192.168.176.33,RemoteInteractive,SUCCESS
2025-10-14T09:38:36.606025,dave1,10.196.39.253,Interactive,SUCCESS
2025-10-15T21:20:17.606025,alice,172.24.59.194,Kerberos,SUCCESS
2025-10-09T07:23:50.606025,jon,172.28.86.40,NTLM,SUCCESS
2025-10-06T12:59:13.606025,eva-user,192.168.13.196,RemoteInteractive,SUCCESS
2025-10-08T16:24:43.606025,dave01,10.124.134.38,NTLM,SUCCESS
2025-10-22T17:00:49.606025,bob-user,172.30.102.67,Kerberos,SUCCESS
2025-10-19T04:45:37.606025,ida1,172.29.68.57,Kerberos,SUCCESS
2025-10-15T07:01:57.606025,jon01,192.168.20.200,NTLM,SUCCESS
2025-10-20T20:34:24.606025,jon,10.78.150.195,Kerberos,SUCCESS
2025-10-24T19:19:20.606025,eva1,10.25.113.49,Kerberos,SUCCESS
2025-10-10T05:44:24.606025,alice-user,192.168.153.234,NTLM,SUCCESS
2025-10-02T11:43:24.606025,bob1,192.168.82.100,RemoteInteractive,SUCCESS
2025-10-11T21:12:52.606025,eva-user,10.132.37.248,Kerberos,SUCCESS
2025-10-05T16:43:15.606025,eva1,10.135.168.177,Interactive,SUCCESS
2025-10-09T09:02:32.606025,eva1,172.22.168.79,Kerberos,SUCCESS
2025-10-17T13:23:02.606025,alice,172.21.21.16,Kerberos,SUCCESS
2025-10-01T17:21:09.606025,jon01,10.29.127.9,Kerberos,SUCCESS
2025-10-09T03:17:22.606025,dave1,192.168.54.82,Kerberos,SUCCESS
2025-10-06T01:43:15.606025,eva1,192.168.226.101,NTLM,FAILURE
2025-10-13T19:13:19.606025,jon01,10.135.129.115,NTLM,SUCCESS
2025-10-21T21:49:29.606025,ida,10.25.30.147,RemoteInteractive,SUCCESS
2025-10-18T01:14:50.606025,harry_svc,172.21.96.223,Interactive,SUCCESS
2025-10-23T08:47:03.606025,jon01,172.22.234.71,NTLM,SUCCESS
2025-10-07T00:46:40.606025,jon1,10.13.25.229,RemoteInteractive,SUCCESS
2025-10-05T01:54:46.606025,jon.admin,192.168.180.122,NTLM,SUCCESS
2025-10-20T13:16:13.606025,ida01,192.168.192.43,Kerberos,SUCCESS
2025-10-12T05:10:21.606025,bob1,172.21.20.251,Interactive,SUCCESS
2025-10-05T05:52:40.606025,dave.admin,10.62.202.149,Interactive,SUCCESS
2025-10-01T06:37:34.606025,eva1,172.30.194.32,Kerberos,SUCCESS
2025-10-23T16:10:03.606025,frank.admin,10.223.97.23,Kerberos,SUCCESS
2025-10-17T15:22:23.606025,bob-user,172.17.54.226,Kerberos,SUCCESS
2025-10-16T15:50:03.606025,ida,10.107.185.100,Interactive,SUCCESS
2025-10-02T20:21:43.606025,jon01,192.168.50.177,NTLM,SUCCESS
2025-10-10T14:12:45.606025,alice1,192.168.171.181,Network,SUCCESS
2025-10-01T11:36:53.606025,bob,172.24.126.28,Kerberos,SUCCESS
2025-10-13T20:58:19.606025,dave1,192.168.37.220,Interactive,SUCCESS
2025-10-02T13:25:57.606025,eva1,10.238.52.33,Interactive,SUCCESS
