timestamp,host,username,process_name,parent_process,cmdline,event_type
2025-10-17T22:27:11.606025,10.0.0.36,frank.admin,svchost.exe,services.exe,svchost.exe --normal-operation,process_create
2025-10-03T02:15:28.606025,10.0.0.15,bob_svc,Teams.exe,svchost.exe,Teams.exe --normal-operation,process_create
2025-10-10T01:30:36.606025,10.0.0.33,frank.admin,Teams.exe,wininit.exe,Teams.exe --normal-operation,process_create
2025-10-20T08:17:49.606025,10.0.0.31,bob1,conhost.exe,explorer.exe,conhost.exe --normal-operation,process_create
2025-10-20T15:00:20.606025,10.0.0.37,ida1,explorer.exe,explorer.exe,explorer.exe --normal-operation,process_create
2025-10-02T15:04:15.606025,10.0.0.31,alice1,winword.exe,explorer.exe,winword.exe --normal-operation,process_create
2025-10-02T21:10:16.606025,10.0.0.33,bob_svc,cmd.exe,services.exe,cmd.exe --normal-operation,process_create
2025-10-19T06:27:00.606025,10.0.0.38,dave01,cmd.exe,wininit.exe,cmd.exe --normal-operation,process_create
2025-10-21T04:11:43.606025,10.0.0.38,jon,msedge.exe,wininit.exe,msedge.exe --normal-operation,process_create
2025-10-25T07:34:44.606025,10.0.0.29,bob,chrome.exe,svchost.exe,chrome.exe --normal-operation,process_create
2025-10-23T18:17:48.606025,10.0.0.30,frank.admin,outlook.exe,svchost.exe,outlook.exe --normal-operation,process_create
2025-10-13T09:09:26.606025,10.0.0.38,dave_svc,Teams.exe,explorer.exe,Teams.exe --normal-operation,process_create
2025-10-11T15:03:04.606025,10.0.0.15,frank.admin,winword.exe,explorer.exe,winword.exe --normal-operation,process_create
2025-10-22T20:28:26.606025,10.0.0.38,gina.admin,outlook.exe,svchost.exe,outlook.exe --normal-operation,process_create
2025-10-05T05:33:44.606025,10.0.0.31,harry_svc,cmd.exe,services.exe,cmd.exe --normal-operation,process_create
2025-10-02T01:16:39.606025,10.0.0.30,frank.admin,Teams.exe,explorer.exe,Teams.exe --normal-operation,process_create
2025-09-30T13:37:36.606025,10.0.0.37,bob,chrome.exe,explorer.exe,chrome.exe --normal-operation,process_create
2025-10-20T03:34:23.606025,10.0.0.20,dave_svc,explorer.exe,svchost.exe,explorer.exe --normal-operation,process_create
2025-10-12T11:21:25.606025,10.0.0.37,eva1,explorer.exe,explorer.exe,explorer.exe --normal-operation,process_create
2025-10-12T21:23:53.606025,10.0.0.11,bob01,winword.exe,wininit.exe,winword.exe --normal-operation,process_create
2025-10-01T10:01:04.606025,10.0.0.29,eva1,Teams.exe,wininit.exe,Teams.exe --normal-operation,process_create
2025-10-23T18:53:38.606025,10.0.0.18,bob_svc,chrome.exe,services.exe,chrome.exe --normal-operation,process_create
2025-10-07T22:05:40.606025,10.0.0.38,dave01,msedge.exe,explorer.exe,msedge.exe --normal-operation,process_create
2025-10-25T03:46:17.606025,10.0.0.25,gina.admin,notepad.exe,wininit.exe,notepad.exe --normal-operation,process_create
2025-10-22T03:58:01.606025,10.0.0.15,bob01,outlook.exe,svchost.exe,outlook.exe --normal-operation,process_create
2025-10-12T06:51:26.606025,10.0.0.18,alice-user,svchost.exe,explorer.exe,svchost.exe --normal-operation,process_create
2025-10-01T00:44:39.606025,10.0.0.10,gina.admin,Teams.exe,wininit.exe,Teams.exe --normal-operation,process_create
2025-10-20T01:05:00.606025,10.0.0.15,jon.admin,outlook.exe,wininit.exe,outlook.exe --normal-operation,process_create
2025-10-13T23:53:05.606025,10.0.0.31,frank.admin,explorer.exe,services.exe,explorer.exe --normal-operation,process_create
2025-10-19T12:59:43.606025,10.0.0.24,ida1,cmd.exe,services.exe,cmd.exe --normal-operation,process_create
2025-10-20T08:30:06.606025,10.0.0.12,jon.admin,chrome.exe,explorer.exe,chrome.exe --normal-operation,process_create
2025-10-15T16:55:54.606025,10.0.0.15,bob-user,cmd.exe,svchost.exe,cmd.exe --normal-operation,process_create
2025-10-04T19:42:36.606025,10.0.0.23,gina,Teams.exe,services.exe,Teams.exe --normal-operation,process_create
2025-10-06T13:04:12.606025,10.0.0.13,gina,explorer.exe,svchost.exe,explorer.exe --normal-operation,process_create
2025-10-03T16:08:08.606025,10.0.0.37,dave.admin,svchost.exe,explorer.exe,svchost.exe --normal-operation,process_create
2025-10-05T19:51:30.606025,10.0.0.33,dave_svc,explorer.exe,explorer.exe,explorer.exe --normal-operation,process_create
2025-10-11T08:54:44.606025,10.0.0.28,eva1,Teams.exe,explorer.exe,Teams.exe --normal-operation,process_create
2025-10-06T18:22:47.606025,10.0.0.28,dave1,conhost.exe,wininit.exe,conhost.exe --normal-operation,process_create
2025-10-16T04:04:36.606025,10.0.0.38,eva1,notepad.exe,services.exe,notepad.exe --normal-operation,process_create
2025-10-02T10:38:01.606025,10.0.0.29,eva-user,conhost.exe,svchost.exe,conhost.exe --normal-operation,process_create
2025-10-11T17:56:57.606025,10.0.0.30,bob-user,svchost.exe,explorer.exe,svchost.exe --normal-operation,process_create
2025-10-04T23:49:25.606025,10.0.0.15,alice-user,msedge.exe,services.exe,msedge.exe --normal-operation,process_create
2025-10-11T05:38:29.606025,10.0.0.35,ida,Teams.exe,services.exe,Teams.exe --normal-operation,process_create
2025-10-04T21:57:07.606025,10.0.0.36,jon.admin,msedge.exe,explorer.exe,msedge.exe --normal-operation,process_create
2025-10-15T08:54:47.606025,10.0.0.36,frank.admin,chrome.exe,svchost.exe,chrome.exe --normal-operation,process_create
2025-10-17T23:30:54.606025,10.0.0.24,jon01,conhost.exe,svchost.exe,conhost.exe --normal-operation,process_create
2025-10-03T13:40:42.606025,10.0.0.23,gina,cmd.exe,wininit.exe,cmd.exe --normal-operation,process_create
2025-10-04T22:36:58.606025,10.0.0.12,alice-user,msedge.exe,explorer.exe,msedge.exe --normal-operation,process_create
2025-10-24T19:52:37.606025,10.0.0.15,jon.admin,Teams.exe,services.exe,Teams.exe --normal-operation,process_create
2025-10-14T16:50:29.606025,10.0.0.25,alice-user,svchost.exe,svchost.exe,svchost.exe --normal-operation,process_create
2025-10-06T05:29:14.606025,10.0.0.38,gina,notepad.exe,services.exe,notepad.exe --normal-operation,process_create
